date,state,checkins,unique_ind,unique_loc,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2020-12-02,Pulau Pinang,1204862.0,537274.0,45164.0,60.0,0.0,36.0,348.0,52.0,60.0,0.0,0.0,0.0,2.0,0.0,54.0,4.0,0.0,2.0,0.0,29.0,11.0,9.0,5.0,4.0,0.0,0.0
2020-12-02,Sabah,758731.0,312903.0,32825.0,229.0,0.0,260.0,2814.0,44.0,229.0,0.0,0.0,0.0,37.0,19.0,153.0,18.0,12.0,25.0,19.0,64.0,32.0,40.0,17.0,15.0,1.0,2.0
2020-12-02,Sarawak,1324152.0,500135.0,38035.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,Selangor,3974328.0,1903749.0,129248.0,249.0,0.0,164.0,3116.0,103.0,249.0,0.0,0.0,0.0,17.0,8.0,212.0,12.0,5.0,12.0,8.0,84.0,70.0,45.0,13.0,8.0,4.0,0.0
2020-12-02,Terengganu,217523.0,119675.0,14721.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,W.P. Kuala Lumpur,,,,85.0,4.0,23.0,1450.0,56.0,85.0,0.0,0.0,0.0,3.0,0.0,82.0,0.0,2.0,1.0,0.0,48.0,29.0,3.0,2.0,0.0,0.0,0.0
2020-12-02,W.P. KualaLumpur,3455908.0,1544722.0,89499.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,W.P. Labuan,53562.0,22838.0,1787.0,0.0,0.0,8.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,W.P. Putrajaya,177019.0,104352.0,2420.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,Johor,1870470.0,841031.0,83370.0,78.0,0.0,4.0,525.0,66.0,78.0,0.0,0.0,0.0,5.0,6.0,52.0,15.0,3.0,2.0,6.0,11.0,18.0,14.0,9.0,10.0,4.0,1.0
2020-12-03,Kedah,674565.0,348146.0,34481.0,32.0,0.0,17.0,270.0,25.0,32.0,0.0,0.0,0.0,2.0,2.0,25.0,2.0,1.0,1.0,2.0,7.0,4.0,10.0,4.0,1.0,1.0,0.0
2020-12-03,Kelantan,164364.0,97043.0,15023.0,9.0,0.0,11.0,86.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
2020-12-03,Melaka,527563.0,237907.0,22072.0,2.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
